kind,stage,layer,count,minimum,maximum,smallest_nonzero,spacing_in_sample,int8_scale,int16_scale,int8_relative_rmse,int16_relative_rmse,fp16_out_of_range_percent,fp8_e4m3_out_of_range_percent,fp8_e5m2_out_of_range_percent,plot
activations,end,layer3.1.bn1,819200000,-33.719406,36.187347,1.782261005445207e-10,1.4901161193847656e-08,0.28493974,0.001104384,0.08464836,0.00032886755,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer3_1_bn1.png
activations,end,layer3.1.relu,1638400000,0.0,73.45096,1.782261005445207e-10,1.4901161193847656e-08,0.578354,0.0022416138,0.17184846,0.00066555466,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer3_1_relu.png
activations,end,layer3.1.conv2,819200000,-259.7968,215.30467,9.313225746154785e-10,2.9802322387695312e-08,2.0456443,0.007928612,0.6341411,0.002548041,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer3_1_conv2.png
activations,end,layer3.1.bn2,819200000,-37.52987,45.767593,4.261891950463337e-10,2.9336661100387573e-08,0.36037475,0.0013967587,0.106305,0.00041196335,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer3_1_bn2.png
activations,end,layer4.0.conv1,409600000,-375.12863,499.47287,1.246853731373676e-09,7.450580596923828e-09,3.9328573,0.015243167,0.7908224,0.0035735012,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer4_0_conv1.png
activations,end,layer4.0.bn1,409600000,-38.95307,40.79391,4.373286732750614e-10,1.4901161193847656e-08,0.3212119,0.0012449693,0.09000004,0.00034847236,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer4_0_bn1.png
activations,end,layer4.0.relu,819200000,0.0,59.30817,4.373286732750614e-10,2.9802322387695312e-08,0.46699348,0.0018099969,0.13029465,0.00050504814,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer4_0_relu.png
activations,end,layer4.0.conv2,409600000,-771.32465,432.08606,1.862645149230957e-09,1.4901161193847656e-08,6.0734224,0.02353968,0.99318236,0.0077442923,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer4_0_conv2.png
activations,end,layer4.0.bn2,409600000,-35.324463,38.099777,1.1862582027788449e-09,2.9802322387695312e-08,0.29999825,0.0011627484,0.08506777,0.00032808958,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer4_0_bn2.png
activations,end,layer4.0.downsample.0,409600000,-310.83224,198.13922,1.9606858359111357e-09,7.450580596923828e-09,2.447498,0.009486137,0.5293534,0.0020810296,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer4_0_downsample_0.png
activations,end,layer4.0.downsample.1,409600000,-38.212658,37.93603,2.1449739762147146e-09,2.2351741790771484e-08,0.30088708,0.0011661934,0.08631188,0.0003329919,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer4_0_downsample_1.png
activations,end,layer4.1.conv1,409600000,-68.4152,137.32004,9.313225746154785e-10,2.9802322387695312e-08,1.0812601,0.004190803,0.2590078,0.0010023002,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer4_1_conv1.png
activations,end,layer4.1.bn1,409600000,-50.671387,57.18711,1.8605825768958084e-09,2.2351741790771484e-08,0.4502922,0.0017452654,0.12923303,0.0005020359,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer4_1_bn1.png
activations,end,layer4.1.relu,819200000,0.0,78.36428,7.66124941264934e-10,2.2351741790771484e-08,0.6170416,0.002391561,0.17853703,0.000688321,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer4_1_relu.png
activations,end,layer4.1.conv2,409600000,-738.3352,541.8568,7.450580596923828e-09,1.4901161193847656e-08,5.813663,0.02253289,0.99077785,0.007389421,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer4_1_conv2.png
activations,end,layer4.1.bn2,409600000,-55.81103,55.71201,5.875602226979026e-10,7.450580596923828e-09,0.43945694,0.0017032695,0.12634599,0.0004896894,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer4_1_bn2.png
activations,end,avgpool,25600000,0.0,44.198112,3.744666798866092e-10,2.9802322387695312e-08,0.34801662,0.0013488606,0.121276885,0.0004718191,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_avgpool.png
activations,end,fc,500000,-574.82623,301.99606,5.811452865600586e-07,2.9802322387695312e-08,4.5261908,0.017542839,0.6755665,0.0031793446,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_fc.png
gradients,end,conv1,169344,-1.4885947,0.8795203,2.333763404749334e-09,7.275957614183426e-12,0.011721218,4.542969e-05,0.056754973,0.00022462041,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/gradients_end_conv1.png
gradients,end,bn1,12544,-0.3234401,0.3832286,3.6184314922138583e-07,5.820766091346741e-11,0.003017548,1.1695565e-05,0.056301508,0.00023261645,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/gradients_end_bn1.png
gradients,end,layer1.0.conv1,3612672,-0.6240727,0.51283723,4.8970605348586105e-11,1.1641532182693481e-10,0.0049139583,1.9045769e-05,0.40533817,0.0015921695,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/gradients_end_layer1_0_conv1.png
gradients,end,layer1.0.bn1,12544,-0.2638579,0.17448488,5.521295420862771e-08,1.4551915228366852e-11,0.0020776212,8.05255e-06,0.050646085,0.00021451466,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/gradients_end_layer1_0_bn1.png
gradients,end,layer1.0.conv2,3612672,-0.13856626,0.25111833,6.912159733474255e-11,1.1641532182693481e-10,0.0019773098,7.663757e-06,0.20473514,0.0007925106,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/gradients_end_layer1_0_conv2.png
gradients,end,layer1.0.bn2,12544,-0.10728469,0.15414684,5.657784640789032e-08,3.637978807091713e-11,0.0012137546,4.704332e-06,0.049162794,0.00019717135,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/gradients_end_layer1_0_bn2.png
gradients,end,layer1.1.conv1,3612672,-0.1421708,0.17497611,1.227817847393453e-10,5.820766091346741e-11,0.0013777646,5.34001e-06,0.18275762,0.00071076927,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/gradients_end_layer1_1_conv1.png
gradients,end,layer1.1.bn1,12544,-0.0764481,0.083482824,1.1281869660706434e-08,5.820766091346741e-11,0.00065734505,2.5477714e-06,0.041910484,0.00016526932,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/gradients_end_layer1_1_bn1.png
gradients,end,layer1.1.conv2,3612672,-0.07940119,0.09525483,4.638422979041934e-11,5.820766091346741e-11,0.000750038,2.9070354e-06,0.12647502,0.00049019663,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/gradients_end_layer1_1_conv2.png
gradients,end,layer1.1.bn2,12544,-0.054009683,0.055524785,6.775371730327606e-08,8.731149137020111e-11,0.00043720304,1.6945337e-06,0.04250968,0.00016417471,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/gradients_end_layer1_1_bn2.png
gradients,end,layer2.0.conv1,7225344,-0.052750114,0.058282938,3.637978807091713e-12,5.820766091346741e-11,0.00045892078,1.7787083e-06,0.07978857,0.00031076907,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/gradients_end_layer2_0_conv1.png
gradients,end,layer2.0.bn1,25088,-0.02328761,0.034308963,8.440110832452774e-09,3.637978807091713e-12,0.00027014932,1.0470584e-06,0.048873477,0.00019199486,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/gradients_end_layer2_0_bn1.png
gradients,end,layer2.0.conv2,14450688,-0.030172177,0.03342106,2.7284841053187847e-12,1.4551915228366852e-11,0.00026315794,1.0199609e-06,0.079201,0.00030654093,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/gradients_end_layer2_0_conv2.png
gradients,end,layer2.0.bn2,25088,-0.019637194,0.0429911,6.087200521420755e-09,1.4551915228366852e-11,0.00033851262,1.3120243e-06,0.052571025,0.00020485639,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/gradients_end_layer2_0_bn2.png
gradients,end,layer2.0.downsample.0,802816,-0.06252169,0.061622106,4.4792614062316716e-10,2.9103830456733704e-11,0.00049229676,1.9080687e-06,0.09922277,0.00038360208,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/gradients_end_layer2_0_downsample_0.png
gradients,end,layer2.0.downsample.1,25088,-0.016354851,0.0429911,1.7061635659842977e-08,7.275957614183426e-12,0.00033851262,1.3120243e-06,0.051544257,0.00020067715,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/gradients_end_layer2_0_downsample_1.png
gradients,end,layer2.1.conv1,14450688,-0.030501256,0.031570602,1.2278178473934531e-11,2.9103830456733704e-11,0.00024858743,9.634878e-07,0.08027079,0.0003090105,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/gradients_end_layer2_1_conv1.png
gradients,end,layer2.1.bn1,25088,-0.015659083,0.032373894,5.673427949659526e-09,7.275957614183426e-12,0.00025491256,9.88003e-07,0.049077123,0.00019189653,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/gradients_end_layer2_1_bn1.png
gradients,end,layer2.1.conv2,14450688,-0.03575428,0.025909275,9.094947017729282e-13,1.4551915228366852e-11,0.00028152976,1.0911673e-06,0.109022304,0.00042458772,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/gradients_end_layer2_1_conv2.png
gradients,end,layer2.1.bn2,25088,-0.017961044,0.020497225,2.5174813345074654e-09,1.4551915228366852e-11,0.00016139548,6.2554477e-07,0.034740966,0.00013407627,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/gradients_end_layer2_1_bn2.png
gradients,end,layer3.0.conv1,28901376,-0.030652476,0.016705954,2.6423307986078726e-13,1.0913936421275139e-11,0.00024135808,9.354679e-07,0.09664159,0.0003748136,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/gradients_end_layer3_0_conv1.png
gradients,end,layer3.0.bn1,50176,-0.011449692,0.017140739,1.3387762010097504e-09,9.094947017729282e-13,0.00013496645,5.231098e-07,0.037350636,0.00014668793,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/gradients_end_layer3_0_bn1.png
gradients,end,layer3.0.conv2,57802752,-0.017121255,0.014507681,6.821210263296962e-13,1.4551915228366852e-11,0.00013481303,5.225152e-07,0.08944684,0.00034595843,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/gradients_end_layer3_0_conv2.png
gradients,end,layer3.0.bn2,50176,-0.012170841,0.025179606,4.132251874011672e-09,1.4551915228366852e-11,0.00019826462,7.6844407e-07,0.038593516,0.00014970235,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/gradients_end_layer3_0_bn2.png
gradients,end,layer3.0.downsample.0,3211264,-0.029273335,0.037242617,7.247535904753022e-13,1.0913936421275139e-11,0.00029324894,1.1365892e-06,0.1274895,0.00049406715,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/gradients_end_layer3_0_downsample_0.png
gradients,end,layer3.0.downsample.1,50176,-0.011843281,0.03293629,6.177596389989048e-08,7.275957614183426e-12,0.00025934086,1.0051665e-06,0.04850863,0.00018803701,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/gradients_end_layer3_0_downsample_1.png
gradients,end,layer3.1.conv1,57802752,-0.018748606,0.014508667,1.3642420526593924e-12,7.275957614183426e-12,0.00014762682,5.721795e-07,0.09892935,0.00038403049,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/gradients_end_layer3_1_conv1.png
gradients,end,layer3.1.bn1,50176,-0.010686402,0.022554953,3.50435375162661e-10,1.4551915228366852e-11,0.00017759805,6.8834356e-07,0.04480396,0.00017657751,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/gradients_end_layer3_1_bn1.png
